epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,61.7708,0.32905,0.99163,1,0.05005,0.000552299,0.000552299,0.000552299
2,120.36,0.10794,0.78479,1,0.49099,0.001097,0.001097,0.001097
3,177.54,0.11689,0.98783,1,0.0487,0.00163069,0.00163069,0.00163069
4,235.184,0.09748,0.9711,1,0.09328,0.00161749,0.00161749,0.00161749
5,291.504,0.06095,0.99392,1,0.02811,0.00160099,0.00160099,0.00160099
6,348.154,0.06247,0.97414,1,0.08141,0.00158448,0.00158448,0.00158448
7,405.229,0.05664,0.99163,1,0.02836,0.00156798,0.00156798,0.00156798
8,463.806,0.0517,0.99468,1,0.02708,0.00155148,0.00155148,0.00155148
9,520.065,0.04493,0.99544,1,0.01639,0.00153497,0.00153497,0.00153497
10,577.092,0.04777,0.9924,1,0.03897,0.00151847,0.00151847,0.00151847
11,633.546,0.04085,0.99468,1,0.02707,0.00150197,0.00150197,0.00150197
12,688.675,0.04852,0.99544,1,0.01996,0.00148546,0.00148546,0.00148546
13,747.134,0.03686,0.9962,1,0.01631,0.00146896,0.00146896,0.00146896
14,805.554,0.02762,0.99316,1,0.02283,0.00145246,0.00145246,0.00145246
15,862.737,0.05135,0.99544,1,0.01551,0.00143595,0.00143595,0.00143595
16,921.826,0.04566,0.99468,1,0.02,0.00141945,0.00141945,0.00141945
17,980.878,0.03717,0.99696,1,0.0126,0.00140295,0.00140295,0.00140295
18,1039.9,0.02644,0.99544,1,0.02194,0.00138644,0.00138644,0.00138644
19,1097.01,0.03241,0.9962,1,0.01437,0.00136994,0.00136994,0.00136994
20,1155.46,0.02801,0.99392,1,0.01839,0.00135344,0.00135344,0.00135344
21,1212.41,0.04413,0.99544,1,0.01678,0.00133693,0.00133693,0.00133693
22,1269.32,0.03179,0.99544,1,0.02225,0.00132043,0.00132043,0.00132043
23,1327.38,0.02708,0.99544,1,0.01559,0.00130393,0.00130393,0.00130393
24,1386.12,0.027,0.9962,1,0.01724,0.00128742,0.00128742,0.00128742
25,1444.24,0.02075,0.99544,1,0.02257,0.00127092,0.00127092,0.00127092
26,1501.76,0.02267,0.9962,1,0.01246,0.00125442,0.00125442,0.00125442
27,1558.66,0.02443,0.9962,1,0.01147,0.00123791,0.00123791,0.00123791
28,1615.58,0.02654,0.99468,1,0.01753,0.00122141,0.00122141,0.00122141
29,1674.75,0.02325,0.99544,1,0.0141,0.00120491,0.00120491,0.00120491
30,1731.75,0.01883,0.99468,1,0.01494,0.0011884,0.0011884,0.0011884
31,1789.83,0.01653,0.99544,1,0.01204,0.0011719,0.0011719,0.0011719
32,1846.76,0.01836,0.9962,1,0.01007,0.0011554,0.0011554,0.0011554
33,1902.43,0.03175,0.99544,1,0.01745,0.00113889,0.00113889,0.00113889
34,1958.77,0.02406,0.99544,1,0.01639,0.00112239,0.00112239,0.00112239
35,2017.2,0.0193,0.9962,1,0.01559,0.00110589,0.00110589,0.00110589
36,2073.76,0.02301,0.9962,1,0.01571,0.00108938,0.00108938,0.00108938
37,2130.44,0.02137,0.9962,1,0.0159,0.00107288,0.00107288,0.00107288
38,2188.55,0.02289,0.9962,1,0.02007,0.00105638,0.00105638,0.00105638
39,2245.88,0.02576,0.99468,1,0.01551,0.00103987,0.00103987,0.00103987
40,2304.35,0.01526,0.99468,1,0.01589,0.00102337,0.00102337,0.00102337
41,2361.71,0.01629,0.99392,1,0.01755,0.00100687,0.00100687,0.00100687
42,2419.04,0.01477,0.9962,1,0.01079,0.000990365,0.000990365,0.000990365
43,2478.94,0.01943,0.99544,1,0.01793,0.000973861,0.000973861,0.000973861
44,2541.8,0.02215,0.99544,1,0.01065,0.000957358,0.000957358,0.000957358
45,2600.91,0.01614,0.9962,1,0.01373,0.000940855,0.000940855,0.000940855
46,2658.07,0.01374,0.99544,1,0.01339,0.000924352,0.000924352,0.000924352
47,2714.64,0.0152,0.99468,1,0.0146,0.000907848,0.000907848,0.000907848
48,2772.44,0.01606,0.9962,1,0.01082,0.000891345,0.000891345,0.000891345
49,2829.61,0.0206,0.99544,1,0.0141,0.000874842,0.000874842,0.000874842
50,2886.3,0.01992,0.99544,1,0.014,0.000858338,0.000858338,0.000858338
51,2944.95,0.03343,0.9962,1,0.01605,0.000841835,0.000841835,0.000841835
52,3005.04,0.01849,0.99544,1,0.01227,0.000825332,0.000825332,0.000825332
53,3062.07,0.0169,0.9962,1,0.01067,0.000808828,0.000808828,0.000808828
54,3123.36,0.01703,0.9962,1,0.01081,0.000792325,0.000792325,0.000792325
55,3186.08,0.01504,0.9962,1,0.01213,0.000775822,0.000775822,0.000775822
56,3251.15,0.01199,0.9962,1,0.01792,0.000759318,0.000759318,0.000759318
57,3313.37,0.01416,0.99544,1,0.01453,0.000742815,0.000742815,0.000742815
58,3372.52,0.0109,0.9962,1,0.0143,0.000726312,0.000726312,0.000726312
59,3429.18,0.01267,0.99696,1,0.01225,0.000709809,0.000709809,0.000709809
60,3486.23,0.01389,0.99544,1,0.01375,0.000693305,0.000693305,0.000693305
61,3543.72,0.0143,0.9962,1,0.01257,0.000676802,0.000676802,0.000676802
62,3602.91,0.01317,0.9962,1,0.01794,0.000660299,0.000660299,0.000660299
63,3662.5,0.00909,0.9962,1,0.01475,0.000643795,0.000643795,0.000643795
64,3722.33,0.01028,0.9962,1,0.01392,0.000627292,0.000627292,0.000627292
65,3780.06,0.01123,0.9962,1,0.01325,0.000610789,0.000610789,0.000610789
66,3837.45,0.01369,0.9962,1,0.01231,0.000594286,0.000594286,0.000594286
67,3897.28,0.0117,0.9962,1,0.01264,0.000577782,0.000577782,0.000577782
68,3958.6,0.00806,0.9962,1,0.01372,0.000561279,0.000561279,0.000561279
69,4021.55,0.00968,0.99696,1,0.01215,0.000544776,0.000544776,0.000544776
70,4081.13,0.00751,0.9962,1,0.01183,0.000528272,0.000528272,0.000528272
71,4145.86,0.00852,0.9962,1,0.0142,0.000511769,0.000511769,0.000511769
72,4202.88,0.00542,0.99544,1,0.01501,0.000495266,0.000495266,0.000495266
73,4259.94,0.01447,0.9962,1,0.01158,0.000478762,0.000478762,0.000478762
74,4318.55,0.00775,0.99544,1,0.0162,0.000462259,0.000462259,0.000462259
75,4376.4,0.01049,0.99696,1,0.01175,0.000445756,0.000445756,0.000445756
76,4438.35,0.0123,0.9962,1,0.01251,0.000429253,0.000429253,0.000429253
77,4497.75,0.00716,0.9962,1,0.0126,0.000412749,0.000412749,0.000412749
78,4558.17,0.05891,0.9962,1,0.01425,0.000396246,0.000396246,0.000396246
79,4617.27,0.00903,0.9962,1,0.01595,0.000379743,0.000379743,0.000379743
80,4675.94,0.01113,0.9962,1,0.01716,0.000363239,0.000363239,0.000363239
81,4737.1,0.01065,0.9962,1,0.01438,0.000346736,0.000346736,0.000346736
82,4798.43,0.00943,0.9962,1,0.01513,0.000330233,0.000330233,0.000330233
83,4859.72,0.00889,0.9962,1,0.01388,0.000313729,0.000313729,0.000313729
84,4917.56,0.0072,0.9962,1,0.01564,0.000297226,0.000297226,0.000297226
85,4975.52,0.00807,0.9962,1,0.0162,0.000280723,0.000280723,0.000280723
86,5034.55,0.01039,0.9962,1,0.01334,0.00026422,0.00026422,0.00026422
87,5093.75,0.00703,0.9962,1,0.01317,0.000247716,0.000247716,0.000247716
88,5154.02,0.00788,0.9962,1,0.01289,0.000231213,0.000231213,0.000231213
89,5215.62,0.0066,0.9962,1,0.01276,0.00021471,0.00021471,0.00021471
90,5272.97,0.00742,0.9962,1,0.01367,0.000198206,0.000198206,0.000198206
91,5334.5,0.0055,0.9962,1,0.0138,0.000181703,0.000181703,0.000181703
92,5392.54,0.006,0.9962,1,0.01825,0.0001652,0.0001652,0.0001652
93,5451.53,0.00588,0.99544,1,0.01546,0.000148696,0.000148696,0.000148696
94,5510.13,0.00913,0.99544,1,0.0164,0.000132193,0.000132193,0.000132193
95,5570.58,0.0065,0.9962,1,0.02122,0.00011569,0.00011569,0.00011569
96,5633.12,0.00419,0.9962,1,0.01675,9.91865e-05,9.91865e-05,9.91865e-05
97,5693.34,0.00722,0.9962,1,0.0167,8.26832e-05,8.26832e-05,8.26832e-05
98,5752.17,0.00613,0.9962,1,0.01673,6.61799e-05,6.61799e-05,6.61799e-05
99,5812.68,0.00503,0.9962,1,0.01654,4.96766e-05,4.96766e-05,4.96766e-05
100,5874.83,0.00663,0.9962,1,0.01663,3.31733e-05,3.31733e-05,3.31733e-05
